,participant,block_label,trial_block,f_cor,f_inc,cor_option,inc_option,times_seen,rt,accuracy,feedback_type
0,1,1,1,43,39,2,1,1,1.2440824150808112,0,0
1,1,1,2,60,50,4,3,1,1.1018207586012068,1,0
2,1,1,3,44,36,4,2,2,1.0299232879742704,0,0
3,1,1,4,55,55,4,3,2,1.3680067775831048,0,0
4,1,1,5,52,49,4,3,3,1.0393291640184543,1,0
5,1,1,6,60,35,3,1,3,1.2414981543915928,0,0
6,1,1,7,56,51,4,3,5,1.0175488060376665,1,0
7,1,1,8,36,40,2,1,3,1.1387933335563505,1,0
8,1,1,9,48,32,3,1,5,1.1202802511425034,1,0
9,1,1,10,49,50,4,2,5,1.138936012326667,0,0
10,1,1,11,62,37,4,2,6,1.069218659651597,1,0
11,1,1,12,50,42,4,2,7,1.2465987497516835,1,0
12,1,1,13,49,56,4,3,8,1.4034675719831284,0,0
13,1,1,14,48,38,3,1,6,1.2634143644072535,1,0
14,1,1,15,57,53,4,3,9,1.4325259125807857,0,0
15,1,1,16,48,28,3,1,8,1.1712896181061296,1,0
16,1,1,17,53,41,4,2,9,1.216336855701229,1,0
17,1,1,18,59,39,4,2,10,1.27985894599351,1,0
18,1,1,19,53,36,3,1,9,1.2527417876081015,1,0
19,1,1,20,48,31,2,1,8,1.5069100215796425,0,0
20,1,1,21,40,34,2,1,9,1.2636369159808964,1,0
21,1,1,22,54,47,4,3,12,1.3068064600029174,0,0
22,1,1,23,55,38,4,2,12,1.181139914625419,1,0
23,1,1,24,46,38,3,1,11,1.663861105971591,1,0
24,1,1,25,51,52,4,3,14,1.6161203799210853,1,0
25,1,1,26,43,41,2,1,11,1.5274250441516417,1,0
26,1,1,27,61,53,4,3,15,1.5656906027943478,1,0
27,1,1,28,38,34,2,1,12,1.3598112817262518,1,0
28,1,1,29,56,40,4,2,15,1.3258899161610316,1,0
29,1,1,30,42,37,3,1,14,1.247650067003633,1,0
30,1,1,31,52,26,3,1,15,1.2967264438375423,1,0
31,1,1,32,45,35,2,1,15,1.4086893418962063,1,0
32,1,1,33,50,42,3,1,17,1.2309170558473852,1,0
33,1,1,34,50,35,4,2,17,1.4394352514864297,1,0
34,1,1,35,44,34,2,1,17,1.3044979994247117,1,0
35,1,1,36,51,40,4,3,19,1.8457731243715896,1,0
36,1,1,37,60,40,4,2,19,1.898259796877028,1,0
37,1,1,38,48,56,4,3,20,1.5284118487552405,0,0
38,1,1,39,64,43,4,2,20,1.2224061648148563,1,0
39,1,1,40,51,46,4,3,22,1.0051831988585036,1,0
40,1,1,41,58,37,4,2,22,1.2244992418918628,1,0
41,1,1,42,57,41,3,1,20,1.2428088875903995,1,0
42,1,1,43,54,39,4,2,23,1.7508995930584206,1,0
43,1,1,44,40,42,2,1,20,1.4776192306408116,1,0
44,1,1,45,47,33,3,1,21,1.5318992865377368,1,0
45,1,1,46,52,47,4,2,24,1.3847292072996424,1,0
46,1,1,47,58,34,4,2,25,1.2119049390748842,1,0
47,1,1,48,46,35,4,2,26,1.2807781659148532,1,0
48,1,1,49,46,37,2,1,23,1.2199007529206938,1,0
49,1,1,50,45,33,2,1,24,1.28387818646479,1,0
50,1,1,51,58,39,3,1,23,1.226722026939569,1,0
51,1,1,52,38,36,2,1,26,1.4863427744812725,1,0
52,1,1,53,51,40,3,1,25,1.0694927530794305,1,0
53,1,1,54,30,29,2,1,27,1.3583626484733031,1,0
54,1,1,55,44,43,3,1,26,1.0812671649728145,1,0
55,1,1,56,57,46,4,2,29,1.1695948810402117,1,0
56,1,1,57,53,55,4,3,28,1.4767600859895538,0,0
57,1,1,58,56,47,4,3,29,1.325771813638312,1,0
58,1,1,59,53,54,4,3,30,1.1721948432214049,1,0
59,1,1,60,49,32,3,1,29,1.4197906376784886,1,0
60,1,1,61,59,52,4,3,32,2.4884447263129914,0,0
61,1,1,62,45,35,3,1,30,1.2281423292406544,1,0
62,1,1,63,54,37,3,1,31,1.176391920149399,1,0
63,1,1,64,54,42,4,2,32,1.0478933035874434,1,0
64,1,1,65,33,36,2,1,31,1.3436486443124522,1,0
65,1,1,66,55,43,4,3,34,1.7855555153537352,1,0
66,1,1,67,41,31,2,1,32,1.6416882107050697,0,0
67,1,1,68,32,30,2,1,33,1.247007671202482,1,0
68,1,1,69,48,50,4,3,35,1.4615176925080955,1,0
69,1,1,70,34,44,2,1,34,1.359110858673375,1,0
70,1,1,71,44,33,3,1,35,1.451641113058031,1,0
71,1,1,72,42,46,2,1,36,1.4411535407889462,1,0
72,1,1,73,45,39,3,1,37,1.3549158297655597,1,0
73,1,1,74,37,36,2,1,37,1.2959239610909208,1,0
74,1,1,75,47,51,4,3,37,1.5526406153894643,1,0
75,1,1,76,49,38,3,1,39,1.6154988056623552,1,0
76,1,1,77,44,30,2,1,39,1.1817099470317771,0,0
77,1,1,78,57,50,4,3,39,1.4866298387050847,1,0
78,1,1,79,52,39,4,2,39,2.0937802296375594,1,0
79,1,1,80,54,41,4,2,40,1.1090386659461728,1,0
80,1,2,1,55,44,4,2,1,1.274764153358774,0,0
81,1,2,2,52,45,4,3,1,1.8701903089031475,0,0
82,1,2,3,57,36,3,1,1,2.36402474282022,0,0
83,1,2,4,46,43,4,3,3,1.1335333339247882,0,0
84,1,2,5,53,38,3,1,3,2.0689507102870266,1,0
85,1,2,6,55,39,3,1,4,1.1790785818684526,1,0
86,1,2,7,60,47,4,3,5,1.1125694534994182,1,0
87,1,2,8,54,46,4,3,6,1.135401470069155,1,0
88,1,2,9,50,26,3,1,6,1.259248007788301,1,0
89,1,2,10,53,37,4,2,4,1.4602342662528829,1,0
90,1,2,11,36,33,2,1,4,1.5221609484797227,1,0
91,1,2,12,58,43,4,2,5,1.3146974834608045,1,0
